CIUDAD,LATITUD,LONGITUD
A Coruña,43.36932,'-8.394902
A Coruña,43.369328,'-8.394904
A Coruña,43.369335,'-8.39491
A Coruña,43.36935,'-8.394918
A Coruña,43.36936,'-8.39046
A Coruña,43.369366,'-8.394928
A Coruña,43.369377,'-8.394935
A Coruña,43.369385,'-8.394939
A Coruña,43.369404,'-8.398286
A Coruña,43.369408,'-8.395141
A Coruña,43.36941,'-8.394955
A Coruña,43.369423,'-8.390452
A Coruña,43.369457,'-8.394984
A Coruña,43.36946,'-8.394986
A Coruña,43.36948,'-8.394996
A Coruña,43.369495,'-8.395006
A Coruña,43.3695,'-8.399715
A Coruña,43.369503,'-8.39501
A Coruña,43.369503,'-8.395199
A Coruña,43.369514,'-8.395018
A Coruña,43.369522,'-8.3950205
A Coruña,43.369522,'-8.395865
A Coruña,43.36954,'-8.390437
A Coruña,43.36954,'-8.395222
A Coruña,43.369564,'-8.39504
A Coruña,43.369564,'-8.395043
A Coruña,43.369564,'-8.395889
A Coruña,43.369568,'-8.395033
A Coruña,43.369568,'-8.395896
A Coruña,43.36957,'-8.395973
A Coruña,43.36957,'-8.398272
A Coruña,43.369576,'-8.395038
A Coruña,43.369576,'-8.395973
A Coruña,43.36958,'-8.3950405
A Coruña,43.36958,'-8.396099
A Coruña,43.369587,'-8.39505
A Coruña,43.369587,'-8.3952465
A Coruña,43.369587,'-8.396226
A Coruña,43.36959,'-8.395055
A Coruña,43.36959,'-8.396291
A Coruña,43.369595,'-8.396419
A Coruña,43.3696,'-8.39506
A Coruña,43.3696,'-8.395061
A Coruña,43.3696,'-8.396482
A Coruña,43.369606,'-8.396607
A Coruña,43.369606,'-8.396673
A Coruña,43.36961,'-8.399826
A Coruña,43.36961,'-8.399827
A Coruña,43.369614,'-8.3904295
A Coruña,43.369614,'-8.396799
A Coruña,43.36962,'-8.396925
A Coruña,43.369625,'-8.397054
A Coruña,43.36963,'-8.397119
A Coruña,43.369633,'-8.397244
A Coruña,43.369633,'-8.399774
A Coruña,43.369637,'-8.397309
A Coruña,43.369644,'-8.397435
A Coruña,43.369648,'-8.397562
A Coruña,43.36966,'-8.397753
A Coruña,43.369663,'-8.397817
A Coruña,43.369667,'-8.3979435
A Coruña,43.36967,'-8.398007
A Coruña,43.369675,'-8.395112
A Coruña,43.369675,'-8.398135
A Coruña,43.36968,'-8.390423
A Coruña,43.36968,'-8.395114
A Coruña,43.36968,'-8.398134
A Coruña,43.36968,'-8.39967
A Coruña,43.369682,'-8.398262
A Coruña,43.369717,'-8.395138
A Coruña,43.36972,'-8.395141
A Coruña,43.369728,'-8.390419
A Coruña,43.369728,'-8.395144
A Coruña,43.369728,'-8.3953285
A Coruña,43.369728,'-8.399549
A Coruña,43.369736,'-8.395149
A Coruña,43.36974,'-8.395152
A Coruña,43.369743,'-8.390418
